year,region,species,diameter,php_per_cubic_meter
2004,X (Northern Mindanao),Yakal,60 cm and above,-
2004,XI (Davao Region),Acacia,60 cm and above,-
2004,XI (Davao Region),Apitong,60 cm and above,-
2004,XI (Davao Region),Bagtikan,60 cm and above,-
2004,XI (Davao Region),Benguet Pine,60 cm and above,-
2004,XI (Davao Region),Falcata,60 cm and above,1800
2004,XI (Davao Region),Gmelina,60 cm and above,-
2004,XI (Davao Region),Lauan,60 cm and above,6755
2004,XI (Davao Region),Mahogany,60 cm and above,5000
2004,XI (Davao Region),Malugay,60 cm and above,-
2004,XI (Davao Region),Mayapis,60 cm and above,-
2004,XI (Davao Region),Nato,60 cm and above,-
2004,XI (Davao Region),Tangile,60 cm and above,-
2004,XI (Davao Region),Toog,60 cm and above,-
2004,XI (Davao Region),Yakal,60 cm and above,8480
2004,XII (SOCCSKSARGEN),Acacia,60 cm and above,-
2004,XII (SOCCSKSARGEN),Apitong,60 cm and above,-
2004,XII (SOCCSKSARGEN),Bagtikan,60 cm and above,6000
2004,XII (SOCCSKSARGEN),Benguet Pine,60 cm and above,-
2004,XII (SOCCSKSARGEN),Falcata,60 cm and above,-
2004,XII (SOCCSKSARGEN),Gmelina,60 cm and above,-
2004,XII (SOCCSKSARGEN),Lauan,60 cm and above,6000
2004,XII (SOCCSKSARGEN),Mahogany,60 cm and above,-
2004,XII (SOCCSKSARGEN),Malugay,60 cm and above,-
2004,XII (SOCCSKSARGEN),Mayapis,60 cm and above,-
2004,XII (SOCCSKSARGEN),Nato,60 cm and above,-
2004,XII (SOCCSKSARGEN),Tangile,60 cm and above,6000
2004,XII (SOCCSKSARGEN),Toog,60 cm and above,-
2004,XII (SOCCSKSARGEN),Yakal,60 cm and above,-
2004,XIII (Caraga),Acacia,60 cm and above,-
2004,XIII (Caraga),Apitong,60 cm and above,5140
2004,XIII (Caraga),Bagtikan,60 cm and above,-
2004,XIII (Caraga),Benguet Pine,60 cm and above,-
2004,XIII (Caraga),Falcata,60 cm and above,2700
2004,XIII (Caraga),Gmelina,60 cm and above,1750
2004,XIII (Caraga),Lauan,60 cm and above,5667
2004,XIII (Caraga),Mahogany,60 cm and above,-
2004,XIII (Caraga),Malugay,60 cm and above,3375
2004,XIII (Caraga),Mayapis,60 cm and above,-
2004,XIII (Caraga),Nato,60 cm and above,4500
2004,XIII (Caraga),Tangile,60 cm and above,-
2004,XIII (Caraga),Toog,60 cm and above,4450
2004,XIII (Caraga),Yakal,60 cm and above,5488
2003,National,Apitong,60 cm and above,5625
2003,National,Benguet Pine,60 cm and above,6763.16
2003,National,Falcata,60 cm and above,2750
2003,National,Gmelina,60 cm and above,2968
2003,National,Gubas,60 cm and above,4300
2003,National,Guijo,60 cm and above,5400
2003,National,Lauan,60 cm and above,6633.25
2003,National,Mahogany,60 cm and above,4240
2003,National,Malugay,60 cm and above,3500
2003,National,Nato,60 cm and above,3666.67
2003,National,Toog,60 cm and above,3975
2003,National,Yakal,60 cm and above,6208.33
2003,CAR,Apitong,60 cm and above,-
2003,CAR,Benguet Pine,60 cm and above,6763.16
2003,CAR,Falcata,60 cm and above,-
2003,CAR,Gmelina,60 cm and above,-
2003,CAR,Gubas,60 cm and above,-
2003,CAR,Guijo,60 cm and above,-
2003,CAR,Lauan,60 cm and above,7166.5
2003,CAR,Mahogany,60 cm and above,-
2003,CAR,Malugay,60 cm and above,-
2003,CAR,Nato,60 cm and above,-
2003,CAR,Toog,60 cm and above,-
2003,CAR,Yakal,60 cm and above,-
2003,VII (Central Visayas),Apitong,60 cm and above,-
2003,VII (Central Visayas),Benguet Pine,60 cm and above,-
2003,VII (Central Visayas),Falcata,60 cm and above,-
2003,VII (Central Visayas),Gmelina,60 cm and above,2968
2003,VII (Central Visayas),Gubas,60 cm and above,-
2003,VII (Central Visayas),Guijo,60 cm and above,-
2003,VII (Central Visayas),Lauan,60 cm and above,-
2003,VII (Central Visayas),Mahogany,60 cm and above,4240
2003,VII (Central Visayas),Malugay,60 cm and above,-
2003,VII (Central Visayas),Nato,60 cm and above,-
2003,VII (Central Visayas),Toog,60 cm and above,-
2003,VII (Central Visayas),Yakal,60 cm and above,-
2003,XIII (Caraga),Apitong,60 cm and above,5625
2003,XIII (Caraga),Benguet Pine,60 cm and above,-
2003,XIII (Caraga),Falcata,60 cm and above,2750
2003,XIII (Caraga),Gmelina,60 cm and above,-
2003,XIII (Caraga),Gubas,60 cm and above,4300
2003,XIII (Caraga),Guijo,60 cm and above,5400
2003,XIII (Caraga),Lauan,60 cm and above,6100
2003,XIII (Caraga),Mahogany,60 cm and above,-
2003,XIII (Caraga),Malugay,60 cm and above,3500
2003,XIII (Caraga),Nato,60 cm and above,3666.67
2003,XIII (Caraga),Toog,60 cm and above,3975
2003,XIII (Caraga),Yakal,60 cm and above,6208.33
